person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1989-90,,1990-02-25T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Sporting News Most Valuable Player of the Year,,1994-95,,,,Award,Sporting News,SNMVP,
764,David,Robinson,San Antonio Spurs,All-NBA,2,1993-94,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,3,1999-00,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Month,,1989-90,12/01/1989,,,Award,Kia Motors,KIRMO,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1995-96,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,IBM Award,,1993-94,,,,Award,IBM,IBMAW,
299,Glenn,Robinson,Milwaukee Bucks,NBA Player of the Week,,1996-97,,1997-01-12T00:00:00,,Award,Kia Motors,KIPWK,
299,Glenn,Robinson,Milwaukee Bucks,NBA Rookie of the Month,,1994-95,12/01/1994,,,Award,Kia Motors,KIRMO,
299,Glenn,Robinson,Milwaukee Bucks,All-Rookie Team,1,1994-95,,,1610612749,Award,Kia Motors,KIART,
299,Glenn,Robinson,Atlanta Hawks,NBA Player of the Week,,2002-03,,2002-11-03T00:00:00,East,Award,Kia Motors,KIPWK,
299,Glenn,Robinson,Milwaukee Bucks,NBA Rookie of the Month,,1994-95,04/01/1995,,,Award,Kia Motors,KIRMO,
299,Glenn,Robinson,Milwaukee Bucks,NBA Player of the Week,,2000-01,,2000-12-17T00:00:00,,Award,Kia Motors,KIPWK,
1629011,Mitchell,Robinson,New York Knicks,All-Rookie,2,2018-19,,,East,Award,Kia Motors,KIART,
101126,Nate,Robinson,Chicago Bulls,NBA Player of the Week,,2012-13,,2013-01-28T00:00:00,East,Award,Kia Motors,KIPWK,
716,Rumeal,Robinson,New Jersey Nets,NBA Player of the Week,,1992-93,,1993-03-14T00:00:00,,Award,Kia Motors,KIPWK,
77993,Leonard,Robinson,New Orleans Jazz,All-NBA,1,1977-78,,,1610612762,Award,Kia Motors,KIANT,
78003,Guy,Rodgers,,Hall of Fame Inductee,,2014,,,,Award,Hall of Fame,,
23,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1,1989-90,,,1610612765,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1,1988-89,,,1610612765,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,NBA Defensive Player of the Year,,1989-90,,,,Award,Kia Motors,KDPYR,
23,Dennis,Rodman,,Hall of Fame Inductee,,2011,,,,Award,Hall of Fame,,
23,Dennis,Rodman,San Antonio Spurs,All-NBA,3,1994-95,,,1610612759,Award,Kia Motors,KIANT,
23,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1,1992-93,,,1610612765,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,NBA Player of the Week,,1991-92,,1991-12-15T00:00:00,,Award,Kia Motors,KIPWK,
23,Dennis,Rodman,Detroit Pistons,All-NBA,3,1991-92,,,1610612765,Award,Kia Motors,KIANT,
23,Dennis,Rodman,San Antonio Spurs,All-Defensive Team,2,1993-94,,,1610612759,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1,1991-92,,,1610612765,Award,Kia Motors,KIADT,
23,Dennis,Rodman,San Antonio Spurs,All-Defensive Team,1,1994-95,,,1610612759,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,NBA Defensive Player of the Year,,1990-91,,,,Award,Kia Motors,KDPYR,
